sortable_name,id,Disc1,Disc2,Disc3,Disc4,Disc5,Disc6,Disc7,Disc8,Disc9,Disc10,Disc11,Disc12,Disc13,Disc14,Disc15,SeekFind1,SeekFind2,SeekFind3,SeekFind4,SeekFind5,SeekFind6,SeekFind7,SeekFind8,SeekFind9,SeekFind10,SeekFind11,SeekFind12,SeekFind13,SeekFind14,SeekFind15
"Lao, Leopoldo",2315,"(0, 0, [])","(0, 0, [])","(40, -32, [(978, 0), (234, 0), (131, 0)])","(40, -3, [(551, 0), (106, 0)])","(0, 0, [])","(40, -21, [(358, 0), (634, 0), (86, 0), (108, 0)])","(40, 64, [(801, 0), (1012, 0), (861, 0), (131, 0)])","(50, 57, [(764, 0), (134, 0)])","(40, 57, [(682, 0), (292, 0), (148, 0), (90, 0), (93, 0)])","(40, 31, [(684, 1), (565, 0)])","(40, 46, [(202, 1)])","(50, -33, [(681, 1), (114, 0)])","(0, 0, [])","(40, 62, [(887, 0), (909, 0), (97, 0)])","(30, -1, [(649, 1), (387, 0), (93, 0), (112, 0), (141, 0)])","(40, -32, [(770, 0), (86, 0), (138, 0)])","(40, 10, [(720, 1), (95, 0)])","(40, 6, [(745, 0), (110, 0)])","(50, -15, [(459, 0), (142, 0), (141, 0), (135, 0)])","(40, -29, [(408, 1), (131, 0), (137, 0)])","(30, -13, [(754, 3), (124, 0)])","(40, -40, [(718, 2), (137, 0), (118, 0)])","(40, 45, [(1297, 3)])","(50, -3, [(691, 1)])","(50, -7, [(774, 0), (111, 0), (129, 0), (98, 0)])","(40, -23, [(311, 0), (138, 0)])","(0, 0, [])","(40, -12, [(600, 1)])","(40, -46, [(460, 2), (108, 0), (128, 0)])","(0, 0, [])"
"Lavoie, Lesli",5003,"(40, -27, [(842, 0)])","(50, -3, [(243, 0), (541, 0), (121, 0)])","(30, 19, [(540, 1), (94, 0), (121, 0), (80, 0), (126, 0)])","(30, -29, [(406, 0), (517, 0), (863, 0), (114, 0)])","(40, -14, [(443, 0), (124, 0)])","(50, -13, [(827, 0), (728, 0), (459, 0), (140, 0)])","(40, -14, [(637, 0), (441, 0)])","(50, 1, [(114, 0), (206, 0), (97, 0)])","(40, -15, [(641, 0), (133, 0)])","(40, -19, [(404, 0)])","(40, -28, [(187, 0), (142, 0), (129, 0)])","(50, -44, [(607, 0), (416, 0)])","(40, 70, [(695, 0), (127, 0), (100, 0), (145, 0)])","(30, 5, [(534, 0), (574, 0), (701, 0)])","(30, -29, [(635, 0)])","(50, -20, [(657, 2), (129, 0), (145, 0)])","(0, 0, [])","(40, -1, [(646, 0), (136, 0), (139, 0)])","(40, -20, [(98, 0), (120, 0)])","(50, -1, [(258, 3)])","(40, -32, [(964, 1), (97, 0), (126, 0)])","(30, -3, [(471, 0), (134, 0)])","(40, -33, [(636, 0)])","(30, -32, [(640, 0)])","(30, -32, [(766, 1)])","(40, 32, [(401, 2), (100, 0), (121, 0)])","(30, -45, [(522, 1), (138, 0), (128, 0)])","(30, -4, [(570, 0)])","(0, 0, [])","(40, -10, [(796, 0), (126, 0)])"
"Litman, Lesli",2729,"(50, -15, [(1686, 1), (105, 0), (127, 0), (134, 0), (143, 0)])","(40, -28, [(546, 0), (410, 0), (821, 0), (136, 0), (92, 0), (122, 0)])","(50, -16, [(1623, 0), (83, 0), (136, 0)])","(50, -3, [(1972, 0), (105, 0), (89, 0), (113, 0), (80, 0)])","(50, -48, [(1686, 0), (101, 0), (108, 0), (131, 0)])","(40, -11, [(1757, 0), (89, 0), (150, 0), (141, 0), (100, 0), (112, 0)])","(50, -9, [(1645, 0), (102, 0), (86, 0)])","(50, -18, [(1459, 0), (134, 0), (95, 0)])","(50, -44, [(1842, 0), (135, 0), (84, 0), (83, 0), (108, 0), (141, 0)])","(50, -16, [(2021, 0), (105, 0), (90, 0), (89, 0)])","(50, -33, [(574, 0), (121, 0), (149, 0), (106, 0), (123, 0), (114, 0)])","(50, -47, [(2001, 0), (96, 0), (111, 0), (139, 0)])","(50, -15, [(1669, 0), (120, 0), (127, 0), (138, 0)])","(50, -32, [(1257, 1), (1499, 0), (2257, 0), (80, 0), (101, 0)])","(50, -26, [(1448, 0), (131, 0)])","(50, -14, [(1693, 1), (121, 0), (118, 0), (124, 0)])","(50, -1, [(1451, 0), (82, 0), (124, 0), (82, 0), (148, 0)])","(50, -22, [(1725, 0), (97, 0)])","(50, -9, [(633, 0), (134, 0), (147, 0), (140, 0)])","(50, -47, [(1871, 1), (125, 0), (113, 0), (110, 0)])","(50, -20, [(1530, 0)])","(50, -39, [(1814, 2), (96, 0)])","(50, -4, [(2342, 1)])","(50, -20, [(1865, 2)])","(50, -33, [(2146, 3)])","(50, -7, [(2156, 1), (101, 0), (125, 0)])","(50, -31, [(1446, 2)])","(50, -21, [(1975, 1), (126, 0), (94, 0), (104, 0)])","(50, -2, [(1757, 0), (120, 0), (127, 0)])","(50, -7, [(2253, 1), (149, 0), (96, 0), (141, 0)])"
"Locke, Lakenya",1348,"(0, 0, [])","(0, 0, [])","(40, 64, [(1223, 0), (147, 0), (115, 0), (145, 0), (132, 0)])","(50, 15, [(1199, 2), (1300, 0), (1452, 0), (139, 0), (116, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40, -8, [(799, 0), (82, 0)])","(40, -46, [(1282, 0), (1318, 0), (119, 0)])","(0, 0, [])","(40, -31, [(298, 0), (118, 0)])","(40, -2, [(1158, 0), (1341, 0), (102, 0), (135, 0), (135, 0), (125, 0)])","(40, -24, [(1260, 0), (124, 0), (150, 0)])","(50, -22, [(1378, 0)])","(50, 22, [(1038, 0), (150, 0), (91, 0)])","(0, 0, [])","(40, -39, [(1499, 2)])","(0, 0, [])","(50, 66, [(119, 1)])","(30, 49, [(981, 0)])","(30, 10, [(1295, 1)])","(40, -30, [(872, 1)])","(40, -45, [(1878, 2), (112, 0), (123, 0), (115, 0)])","(50, -30, [(1567, 2)])","(50, 54, [(1373, 2)])","(50, -27, [(1038, 2)])","(30, -29, [(1159, 0), (132, 0)])","(0, 0, [])","(40, -41, [(1118, 0), (112, 0)])","(30, -14, [(1857, 1), (140, 0)])"
"Luff, Luise",4840,"(50, -11, [(1901, 2), (148, 0), (94, 0), (122, 0)])","(50, -46, [(882, 0), (114, 0), (96, 0), (112, 0)])","(50, -24, [(1738, 0), (131, 0), (139, 0), (86, 0), (148, 0)])","(50, -43, [(1486, 0), (1745, 0), (105, 0), (138, 0)])","(50, -9, [(1880, 1), (147, 0), (147, 0), (119, 0)])","(50, -36, [(1569, 1), (81, 0), (125, 0), (111, 0)])","(50, -40, [(2145, 0), (107, 0), (137, 0)])","(50, -11, [(1912, 0), (101, 0)])","(50, -47, [(1616, 0), (106, 0), (101, 0)])","(50, -14, [(1586, 0), (127, 0), (136, 0), (86, 0)])","(40, -39, [(827, 3), (83, 0), (148, 0), (120, 0)])","(50, -9, [(1716, 0), (108, 0), (121, 0), (85, 0), (134, 0)])","(50, -44, [(1694, 1), (99, 0), (120, 0), (135, 0), (138, 0), (100, 0), (126, 0)])","(50, -7, [(1822, 0), (85, 0), (145, 0), (118, 0), (92, 0), (105, 0)])","(50, -2, [(1654, 1), (83, 0), (115, 0), (101, 0), (148, 0)])","(50, -7, [(1410, 1)])","(50, -5, [(1862, 2), (98, 0), (133, 0)])","(50, -28, [(1978, 1)])","(50, -15, [(445, 1), (145, 0)])","(40, -13, [(1814, 1), (144, 0)])","(40, -7, [(1245, 2), (113, 0), (113, 0)])","(50, -10, [(1439, 1)])","(40, -38, [(2252, 1)])","(50, -22, [(1989, 1)])","(50, -26, [(1965, 1), (94, 0)])","(50, -11, [(1895, 1), (138, 0)])","(50, -3, [(1709, 1), (122, 0)])","(50, -11, [(2078, 1), (148, 0), (139, 0)])","(50, -19, [(2010, 3), (102, 0), (98, 0), (141, 0), (149, 0), (132, 0), (148, 0)])","(50, -17, [(1642, 1)])"
"Mahi, Mika",4063,"(40, -34, [(315, 1), (143, 0), (139, 0)])","(50, -47, [(203, 0), (180, 0), (102, 0)])","(50, -20, [(413, 0), (113, 0), (136, 0)])","(40, -6, [(766, 0), (342, 0), (801, 0), (81, 0), (81, 0), (90, 0)])","(40, -47, [(1074, 0), (122, 0), (92, 0)])","(40, -21, [(662, 0), (761, 0), (793, 0), (105, 0)])","(40, -2, [(481, 0), (867, 0), (783, 0), (111, 0)])","(50, -28, [(375, 0)])","(50, -6, [(477, 2), (571, 0), (80, 0), (97, 0), (111, 0)])","(40, -9, [(218, 0), (882, 0), (140, 0)])","(50, -37, [(566, 0), (83, 0)])","(40, -3, [(381, 0), (121, 0)])","(50, -6, [(428, 0), (131, 0)])","(50, -22, [(604, 0), (451, 0), (839, 0)])","(40, -40, [(348, 0), (510, 0), (698, 0)])","(30, -43, [(411, 0), (88, 0)])","(50, -17, [(476, 0)])","(40, -24, [(1143, 3)])","(50, -14, [(419, 0)])","(40, -7, [(789, 0)])","(40, -38, [(527, 2)])","(40, -30, [(340, 3)])","(40, -27, [(622, 0), (140, 0), (134, 0)])","(40, -35, [(669, 1)])","(50, -20, [(907, 0)])","(30, -3, [(284, 0)])","(50, -3, [(649, 0)])","(40, -22, [(526, 0), (81, 0)])","(40, -4, [(828, 1)])","(30, -20, [(792, 1)])"
"Malcom, Melodie",7915,"(40, 40, [(889, 0), (133, 0), (111, 0), (106, 0)])","(0, 0, [])","(50, -43, [(553, 0), (89, 0)])","(50, -20, [(738, 2), (146, 0)])","(50, -47, [(591, 0), (126, 0), (94, 0)])","(50, -45, [(658, 0), (971, 0), (134, 0)])","(50, -19, [(864, 0), (91, 0)])","(50, -31, [(884, 0), (100, 0)])","(50, -37, [(724, 0), (134, 0)])","(50, -30, [(675, 1), (97, 0)])","(50, -46, [(338, 0), (104, 0)])","(0, 0, [])","(0, 0, [])","(50, -6, [(1071, 0), (1017, 0), (127, 0), (119, 0)])","(50, 71, [(999, 0), (791, 0), (89, 0), (127, 0)])","(50, -25, [(642, 1), (102, 0)])","(50, -12, [(652, 1), (118, 0), (144, 0)])","(0, 0, [])","(50, 54, [(513, 0), (116, 0)])","(50, -27, [(766, 1), (131, 0), (109, 0)])","(0, 0, [])","(50, 11, [(433, 0)])","(40, -41, [(1238, 1), (83, 0)])","(50, -12, [(992, 0)])","(0, 0, [])","(50, -17, [(404, 1)])","(50, -33, [(900, 1), (84, 0)])","(50, 6, [(901, 3)])","(50, -46, [(943, 1), (141, 0), (146, 0), (138, 0)])","(50, 30, [(872, 1)])"
"Marcus, Marguerite",2170,"(50, -48, [(2780, 0), (2395, 0), (3269, 0), (81, 0), (109, 0), (97, 0), (142, 0), (147, 0), (136, 0), (142, 0)])","(50, -42, [(1709, 0), (864, 0), (102, 0), (145, 0), (118, 0), (134, 0), (84, 0)])","(40, -12, [(2841, 0), (120, 0), (140, 0), (101, 0), (118, 0), (81, 0), (102, 0)])","(50, -26, [(2938, 0), (2675, 0), (3267, 0), (142, 0), (144, 0), (96, 0), (117, 0), (131, 0), (120, 0)])","(40, -41, [(2677, 0), (86, 0), (98, 0), (126, 0), (129, 0), (86, 0)])","(50, -36, [(2918, 0), (2464, 0), (2768, 0), (90, 0), (143, 0), (114, 0), (134, 0), (143, 0), (82, 0), (101, 0)])","(40, -9, [(2876, 0), (141, 0), (87, 0), (88, 0)])","(50, -19, [(2909, 0), (127, 0), (125, 0)])","(50, -46, [(2922, 0), (95, 0), (126, 0), (94, 0), (93, 0)])","(50, -10, [(2867, 0), (99, 0), (89, 0), (117, 0), (83, 0), (109, 0)])","(50, -37, [(1220, 0)])","(50, -31, [(3127, 0), (3228, 0), (120, 0), (143, 0), (98, 0), (113, 0), (117, 0), (135, 0), (95, 0)])","(40, -4, [(3236, 0), (142, 0), (82, 0), (139, 0), (109, 0), (118, 0), (127, 0), (85, 0), (108, 0), (118, 0)])","(50, -33, [(2857, 0), (100, 0), (120, 0)])","(50, -1, [(2965, 0), (92, 0), (99, 0), (88, 0), (136, 0), (124, 0), (105, 0)])","(50, -31, [(3193, 2), (100, 0), (140, 0), (108, 0)])","(50, -35, [(2867, 1), (95, 0), (97, 0)])","(50, -16, [(3560, 1), (140, 0), (147, 0)])","(50, -43, [(961, 0), (87, 0)])","(50, -42, [(2827, 0), (145, 0)])","(50, -6, [(2634, 3), (98, 0), (150, 0)])","(50, -13, [(2302, 0), (143, 0), (89, 0), (94, 0)])","(50, -2, [(3984, 1), (94, 0)])","(50, -46, [(3195, 1), (102, 0)])","(50, -45, [(3415, 0), (118, 0), (133, 0), (120, 0)])","(50, -5, [(2827, 1)])","(50, -46, [(2790, 1), (120, 0)])","(50, -14, [(3076, 0), (91, 0)])","(50, -27, [(3215, 0), (115, 0), (95, 0), (141, 0)])","(50, -40, [(3436, 1)])"
"Matteo, Mohammed",6401,"(40, 56, [(1309, 0), (1140, 0), (88, 0), (118, 0), (97, 0), (150, 0), (138, 0), (82, 0)])","(40, 43, [(770, 1), (635, 0), (91, 0), (121, 0)])","(50, -46, [(1293, 0), (149, 0), (135, 0), (111, 0), (105, 0)])","(50, -13, [(1545, 0)])","(40, -8, [(1687, 0), (112, 0), (140, 0), (114, 0)])","(0, 0, [])","(50, 70, [(1439, 0), (1528, 0), (90, 0), (92, 0), (109, 0)])","(50, -31, [(1089, 0)])","(50, -43, [(1372, 0), (108, 0), (89, 0), (122, 0)])","(50, -48, [(1149, 0), (147, 0)])","(50, -16, [(531, 0), (95, 0), (103, 0)])","(50, -30, [(1512, 1), (117, 0), (133, 0), (126, 0), (133, 0), (115, 0), (97, 0)])","(50, -23, [(1488, 3), (144, 0), (88, 0), (132, 0), (92, 0), (117, 0)])","(50, -5, [(1341, 0), (146, 0), (103, 0), (102, 0)])","(50, -21, [(1443, 0), (140, 0), (80, 0), (88, 0), (81, 0), (143, 0), (146, 0)])","(50, -45, [(1580, 3), (114, 0)])","(0, 0, [])","(40, -26, [(1644, 1), (93, 0), (111, 0)])","(50, -43, [(794, 0), (88, 0)])","(50, -23, [(1086, 1), (117, 0), (80, 0), (122, 0), (133, 0)])","(40, -21, [(1263, 3), (108, 0), (80, 0)])","(50, -42, [(1231, 1), (104, 0)])","(40, -25, [(2119, 3), (144, 0), (136, 0)])","(50, -44, [(1452, 3), (84, 0), (86, 0)])","(50, -46, [(1578, 1), (144, 0), (102, 0), (132, 0)])","(50, -32, [(1578, 1), (105, 0)])","(50, 2, [(1427, 3)])","(50, -25, [(1905, 2), (130, 0), (144, 0), (149, 0)])","(50, -27, [(1394, 2), (116, 0)])","(40, -44, [(1958, 1), (143, 0), (93, 0)])"
"Maugeri, Madie",4290,"(50, -4, [(810, 0), (125, 0), (108, 0)])","(50, -19, [(219, 1), (129, 0), (115, 0), (88, 0)])","(50, -24, [(857, 2)])","(50, -38, [(579, 0), (106, 0), (80, 0)])","(50, -44, [(856, 0), (104, 0), (99, 0)])","(40, -24, [(688, 0), (133, 0)])","(50, -43, [(673, 0)])","(50, -10, [(532, 0), (98, 0), (89, 0)])","(40, -20, [(682, 0), (123, 0)])","(50, -41, [(931, 0), (104, 0), (106, 0)])","(40, -26, [(177, 0), (125, 0), (108, 0)])","(50, -33, [(831, 0), (85, 0)])","(50, -2, [(839, 0)])","(50, -16, [(806, 0), (128, 0), (137, 0), (139, 0)])","(50, -26, [(692, 0), (839, 0), (562, 0), (101, 0)])","(0, 0, [])","(0, 0, [])","(50, -1, [(1025, 1)])","(40, -45, [(36, 0)])","(50, -23, [(661, 0), (101, 0)])","(50, -10, [(515, 1)])","(50, -6, [(267, 1), (136, 0), (85, 0), (114, 0), (139, 0)])","(50, -24, [(893, 1)])","(40, -37, [(990, 1), (112, 0), (86, 0)])","(50, -34, [(347, 1)])","(50, -37, [(827, 1)])","(50, -37, [(623, 1), (126, 0), (134, 0)])","(50, -32, [(884, 3)])","(50, -22, [(913, 0), (108, 0), (112, 0), (128, 0)])","(40, -24, [(1061, 0), (110, 0), (90, 0)])"
"Mayes, Margareta",1882,"(30, 58, [(1786, 0), (114, 0), (140, 0), (119, 0), (113, 0), (103, 0)])","(50, -13, [(855, 0), (100, 0), (86, 0), (129, 0), (128, 0), (92, 0), (98, 0), (86, 0)])","(50, -33, [(1151, 0), (116, 0), (149, 0), (128, 0)])","(40, -3, [(1618, 0), (97, 0), (80, 0), (92, 0), (134, 0)])","(0, 0, [])","(50, -42, [(1767, 0), (1099, 0), (1708, 0), (137, 0), (87, 0)])","(50, -23, [(1638, 1), (111, 0), (115, 0), (99, 0)])","(50, -15, [(1539, 0), (150, 0), (103, 0), (121, 0)])","(40, -28, [(1277, 0), (116, 0)])","(50, -35, [(1299, 0), (144, 0), (87, 0), (128, 0)])","(0, 0, [])","(50, 35, [(1277, 0), (1900, 0), (140, 0), (148, 0), (124, 0)])","(40, 61, [(1646, 0), (1573, 0), (96, 0), (150, 0), (95, 0), (129, 0), (125, 0), (100, 0)])","(50, 25, [(1498, 1), (96, 0), (84, 0), (102, 0)])","(40, 37, [(1610, 1), (116, 0), (128, 0), (89, 0), (136, 0), (107, 0)])","(50, -21, [(1535, 2), (103, 0), (142, 0), (107, 0), (141, 0), (103, 0)])","(40, -37, [(1561, 3), (90, 0), (101, 0)])","(0, 0, [])","(40, -8, [(318, 0)])","(0, 0, [])","(50, -9, [(999, 1), (140, 0), (105, 0)])","(50, -34, [(1244, 1)])","(50, -37, [(1540, 1), (127, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(50, -15, [(1753, 1), (148, 0), (143, 0), (111, 0), (107, 0)])","(0, 0, [])","(30, -44, [(2170, 1), (103, 0)])"
"Mclellan, Maryalice",2121,"(50, -24, [(2024, 0), (910, 0), (93, 0)])","(50, -31, [(635, 0), (141, 0)])","(50, -12, [(1766, 0), (139, 0), (101, 0), (103, 0), (143, 0)])","(50, -28, [(1456, 1), (96, 0)])","(50, -42, [(2070, 0), (86, 0), (149, 0)])","(50, -25, [(1866, 0), (103, 0), (137, 0), (114, 0)])","(50, -41, [(2037, 1), (116, 0), (149, 0), (143, 0), (134, 0), (107, 0)])","(50, -36, [(1859, 0), (123, 0), (119, 0)])","(50, -42, [(1704, 0), (119, 0), (121, 0), (122, 0)])","(50, -24, [(1658, 0), (135, 0)])","(50, -42, [(728, 0), (139, 0)])","(50, -43, [(1788, 0), (104, 0), (94, 0), (140, 0), (141, 0)])","(40, -41, [(1922, 0), (120, 0), (96, 0), (114, 0)])","(50, -37, [(1768, 0), (1613, 0), (143, 0), (96, 0), (121, 0)])","(40, -31, [(1533, 0), (2131, 0), (124, 0), (139, 0), (138, 0), (103, 0), (121, 0)])","(50, -36, [(1766, 1), (90, 0)])","(50, -8, [(1563, 1), (94, 0)])","(50, -16, [(2172, 3), (94, 0)])","(50, -4, [(714, 3)])","(50, -38, [(1891, 3), (141, 0), (148, 0)])","(50, -47, [(1560, 1), (143, 0), (80, 0)])","(40, -30, [(1602, 1), (142, 0), (100, 0)])","(50, -7, [(2415, 1), (145, 0)])","(50, -30, [(2008, 1), (124, 0), (150, 0), (118, 0)])","(50, -41, [(1995, 1), (128, 0)])","(40, -7, [(1628, 1), (143, 0), (88, 0), (98, 0)])","(50, -30, [(1747, 1), (98, 0), (140, 0), (140, 0)])","(50, -33, [(2106, 1), (94, 0), (99, 0), (122, 0)])","(50, -42, [(2136, 1), (137, 0), (134, 0)])","(50, -8, [(1977, 1)])"
"Meeks, Maira",4289,"(50, -25, [(1585, 0), (111, 0), (88, 0), (122, 0), (93, 0)])","(40, -44, [(636, 0), (111, 0), (94, 0), (120, 0), (97, 0)])","(50, -2, [(2024, 0), (123, 0)])","(50, -16, [(1546, 0), (1705, 0)])","(50, -36, [(2055, 0), (101, 0), (114, 0)])","(50, -40, [(1520, 0), (1319, 0), (97, 0), (113, 0), (148, 0)])","(50, -14, [(1711, 0)])","(50, -33, [(1545, 0), (103, 0), (97, 0)])","(50, -8, [(1816, 0), (131, 0), (92, 0), (88, 0), (123, 0), (93, 0), (128, 0)])","(50, -13, [(1738, 0), (133, 0)])","(50, -36, [(698, 1)])","(50, -46, [(1696, 0), (119, 0), (108, 0), (145, 0)])","(50, -6, [(1813, 0), (115, 0), (122, 0), (99, 0)])","(50, -20, [(1958, 0)])","(50, -41, [(1552, 0), (1797, 0), (127, 0)])","(50, -19, [(1790, 3), (125, 0)])","(50, -22, [(1858, 2), (142, 0), (142, 0)])","(40, -48, [(1779, 2), (104, 0)])","(50, -38, [(872, 1), (124, 0)])","(40, -4, [(1654, 1), (98, 0), (142, 0)])","(50, -19, [(1864, 1), (138, 0)])","(50, -22, [(1701, 1), (94, 0), (114, 0)])","(50, -8, [(2456, 1), (127, 0)])","(50, -27, [(1956, 1), (95, 0)])","(50, -13, [(2037, 1)])","(50, -40, [(1491, 3)])","(50, -7, [(1590, 3), (100, 0)])","(50, -40, [(1852, 1), (93, 0)])","(50, -47, [(2078, 1), (105, 0), (138, 0)])","(50, -23, [(2274, 1), (114, 0)])"
"Michalek, Marquitta",6751,"(50, -2, [(2885, 0), (115, 0), (80, 0), (114, 0), (137, 0), (95, 0), (80, 0), (99, 0), (136, 0)])","(50, -7, [(1215, 1), (112, 0), (114, 0), (142, 0), (150, 0), (81, 0), (88, 0)])","(50, -16, [(2728, 0), (1367, 0), (87, 0), (96, 0), (106, 0), (147, 0)])","(50, -2, [(2800, 0), (2593, 0), (3529, 0), (117, 0), (105, 0), (125, 0), (147, 0), (127, 0), (80, 0)])","(40, -36, [(2669, 0), (88, 0), (80, 0), (98, 0), (89, 0), (109, 0), (80, 0), (111, 0)])","(50, 30, [(2832, 0), (123, 0), (130, 0), (112, 0), (122, 0), (98, 0), (85, 0)])","(50, -23, [(3228, 2), (84, 0), (87, 0), (133, 0), (135, 0), (81, 0), (93, 0), (82, 0), (106, 0), (87, 0), (117, 0)])","(50, -10, [(2219, 0), (1384, 0), (90, 0), (146, 0), (145, 0)])","(50, 63, [(2873, 0), (110, 0), (105, 0), (99, 0), (134, 0), (87, 0), (91, 0)])","(50, 39, [(2745, 0), (2930, 0), (103, 0), (117, 0), (139, 0), (123, 0), (132, 0), (83, 0)])","(50, -27, [(1352, 0), (85, 0), (101, 0), (117, 0), (103, 0), (93, 0), (119, 0)])","(50, -36, [(3009, 0), (101, 0), (96, 0), (130, 0), (93, 0), (120, 0), (138, 0)])","(50, -25, [(3093, 1), (109, 0), (116, 0), (85, 0), (117, 0), (129, 0)])","(50, -34, [(3057, 0), (2658, 0), (3412, 0), (147, 0), (111, 0), (111, 0), (141, 0), (136, 0), (81, 0), (84, 0)])","(50, 39, [(2584, 0), (3099, 0), (150, 0), (124, 0), (115, 0), (127, 0), (129, 0), (113, 0), (116, 0), (140, 0), (92, 0), (110, 0), (113, 0)])","(50, -47, [(3170, 1), (115, 0), (135, 0), (81, 0), (144, 0), (111, 0)])","(50, 33, [(2999, 2), (126, 0), (82, 0), (150, 0), (112, 0), (127, 0)])","(50, 34, [(3247, 1), (93, 0), (136, 0), (92, 0), (135, 0)])","(40, -23, [(632, 0), (108, 0)])","(50, -2, [(2830, 0), (132, 0), (86, 0), (149, 0), (136, 0)])","(50, 64, [(2879, 2), (115, 0), (119, 0), (113, 0)])","(50, -36, [(2517, 1), (86, 0), (87, 0)])","(50, -22, [(3560, 1)])","(50, -42, [(3140, 1), (109, 0)])","(50, 55, [(3305, 3), (138, 0)])","(50, -13, [(3034, 3), (118, 0), (90, 0), (89, 0)])","(50, -36, [(3239, 1), (88, 0), (135, 0)])","(50, 36, [(3122, 2), (96, 0), (106, 0)])","(50, -8, [(3377, 0), (135, 0)])","(50, -18, [(3488, 1), (127, 0), (110, 0), (150, 0)])"
"Mickelson, Meryl",7137,"(40, -10, [(1362, 2), (978, 0), (1952, 0), (150, 0), (119, 0), (99, 0), (149, 0), (91, 0), (93, 0), (142, 0)])","(50, -22, [(903, 0), (109, 0), (146, 0)])","(30, -47, [(1274, 0), (707, 0), (108, 0), (123, 0), (87, 0), (134, 0)])","(40, -12, [(1513, 0), (1501, 0), (1879, 0), (129, 0), (120, 0)])","(40, -3, [(1710, 0), (119, 0), (144, 0)])","(40, -24, [(1413, 0), (1396, 0), (1569, 0), (82, 0), (131, 0)])","(50, -11, [(1682, 0), (1878, 0), (103, 0)])","(40, -34, [(1234, 0), (124, 0)])","(30, -21, [(1394, 0), (97, 0), (124, 0), (98, 0), (142, 0), (108, 0)])","(40, -11, [(1344, 0), (83, 0), (92, 0), (103, 0), (121, 0)])","(40, 42, [(493, 0), (135, 0)])","(40, -29, [(1685, 0), (1636, 0), (112, 0)])","(50, 28, [(1988, 0), (115, 0), (99, 0), (121, 0), (87, 0), (98, 0), (131, 0), (99, 0)])","(40, 49, [(1421, 0), (1420, 0), (1206, 0), (90, 0), (106, 0), (89, 0)])","(40, 29, [(1366, 0), (1484, 0), (120, 0), (124, 0), (85, 0), (147, 0), (115, 0), (131, 0)])","(40, -36, [(1577, 1), (108, 0), (99, 0), (128, 0)])","(50, -31, [(1925, 0), (112, 0)])","(50, -11, [(1616, 1), (138, 0)])","(40, -34, [(394, 0), (144, 0)])","(30, -33, [(1469, 2), (141, 0)])","(30, 62, [(1312, 0), (134, 0), (139, 0)])","(40, -34, [(1522, 0)])","(50, -14, [(1971, 1), (150, 0)])","(50, 53, [(1546, 2), (109, 0)])","(40, -1, [(1636, 1), (125, 0)])","(40, -25, [(1360, 0), (140, 0)])","(40, -4, [(1302, 0), (120, 0)])","(40, -25, [(1662, 1), (101, 0), (110, 0)])","(40, -19, [(1810, 0), (121, 0), (81, 0), (85, 0)])","(30, -47, [(1988, 3), (130, 0), (101, 0), (149, 0)])"
"Milling, Melodie",3457,"(40, 57, [(929, 0), (832, 0), (125, 0)])","(0, 0, [])","(40, 33, [(845, 1), (93, 0)])","(40, 2, [(748, 0), (123, 0), (87, 0), (108, 0), (117, 0)])","(40, 43, [(1057, 1)])","(50, 15, [(776, 0), (872, 0), (108, 0), (123, 0)])","(0, 0, [])","(0, 0, [])","(30, 1, [(653, 0), (104, 0), (84, 0), (113, 0), (112, 0), (102, 0)])","(30, -48, [(435, 2), (106, 0)])","(40, 24, [(177, 0), (100, 0)])","(50, 31, [(958, 0), (109, 0)])","(40, 35, [(722, 0), (98, 0), (90, 0)])","(0, 0, [])","(40, 23, [(924, 1), (142, 0), (133, 0), (88, 0)])","(0, 0, [])","(0, 0, [])","(50, 60, [(1030, 3)])","(0, 0, [])","(40, 3, [(994, 3), (129, 0)])","(0, 0, [])","(0, 0, [])","(40, 39, [(691, 1)])","(0, 0, [])","(40, 21, [(865, 1)])","(30, 13, [(940, 1)])","(40, 17, [(1103, 1), (101, 0), (98, 0), (140, 0)])","(0, 0, [])","(40, 51, [(766, 1)])","(50, 58, [(974, 2)])"
